Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-7c2684f7-9e26-4493-92df-dbd9c708f58f,100,10400,AES3,93600,18841,18841,256,8,34.44736,2.3450628099173554,1.856439776335733,1712869275145,1712869293986,False,./profiling/aes_inputs_100content/run85.json
AS-7c2684f7-9e26-4493-92df-dbd9c708f58f,100,10400,Stats,10400,25,,128,1,13.04576,0.006538461538461538,0.006538461538461538,1712869294028,1712869294053,False,./profiling/aes_inputs_100content/run85.json
AS-56d630d2-b8c2-418d-bbb3-eac7b1213539,100,7900,wait1,7900,1010,,128,1,9.78944,0.022380952380952383,0.007424377449935249,1712869294634,1712869295644,False,./profiling/aes_inputs_100content/run60.json
AS-56d630d2-b8c2-418d-bbb3-eac7b1213539,100,7900,AES1,7900,4659,16214,256,8,22.503424,0.6617133757961784,0.6279017485492822,1712869295687,1712869300346,False,./profiling/aes_inputs_100content/run60.json
AS-56d630d2-b8c2-418d-bbb3-eac7b1213539,100,7900,AES2,31600,10244,16214,256,8,28.540928,2.5269969788519635,1.2460258341852921,1712869295679,1712869305923,False,./profiling/aes_inputs_100content/run60.json
AS-56d630d2-b8c2-418d-bbb3-eac7b1213539,100,7900,AES3,71100,16214,16214,256,8,34.258944,16.131229390681003,1.9187181700474416,1712869295686,1712869311900,False,./profiling/aes_inputs_100content/run60.json
AS-56d630d2-b8c2-418d-bbb3-eac7b1213539,100,7900,Stats,7900,24,,128,1,13.053952,0.006290322580645161,0.006290322580645161,1712869311938,1712869311962,False,./profiling/aes_inputs_100content/run60.json
AS-96339a71-525c-4130-ad4d-8a0c6271b5e0,100,2200,wait1,2200,1007,,128,1,9.80992,0.017492307692307692,0.006204779191896537,1712869312526,1712869313533,False,./profiling/aes_inputs_100content/run3.json
AS-96339a71-525c-4130-ad4d-8a0c6271b5e0,100,2200,AES1,2200,1619,4244,256,8,22.634496,0.853491124260355,0.6058553633583142,1712869313572,1712869315191,False,./profiling/aes_inputs_100content/run3.json
AS-96339a71-525c-4130-ad4d-8a0c6271b5e0,100,2200,AES2,8800,2931,4244,256,8,28.655616,1.4540889748549324,1.223694305061055,1712869313570,1712869316501,False,./profiling/aes_inputs_100content/run3.json
AS-96339a71-525c-4130-ad4d-8a0c6271b5e0,100,2200,AES3,19800,4244,4244,256,8,34.648064,3.445713717693837,1.836725825725767,1712869313574,1712869317818,False,./profiling/aes_inputs_100content/run3.json
AS-96339a71-525c-4130-ad4d-8a0c6271b5e0,100,2200,Stats,2200,24,,128,1,13.041664,0.004196969696969697,0.004196969696969697,1712869317850,1712869317874,False,./profiling/aes_inputs_100content/run3.json
AS-f74a6924-a303-40bd-a9b4-2a4e9943ed21,100,10300,wait1,10300,1009,,128,1,9.924608,0.011015625,0.007008831219800611,1712869318469,1712869319478,False,./profiling/aes_inputs_100content/run84.json
AS-f74a6924-a303-40bd-a9b4-2a4e9943ed21,100,10300,AES1,10300,6133,18327,256,8,22.659072,0.6690384615384615,0.6238731298997171,1712869319519,1712869325652,False,./profiling/aes_inputs_100content/run84.json
AS-f74a6924-a303-40bd-a9b4-2a4e9943ed21,100,10300,AES2,41200,12102,18327,256,8,28.647424,1.3239166666666666,1.254408137362043,1712869319514,1712869331616,False,./profiling/aes_inputs_100content/run84.json
AS-f74a6924-a303-40bd-a9b4-2a4e9943ed21,100,10300,AES3,92700,18327,18327,256,8,34.537472,1.992452229299363,1.872708186606544,1712869319518,1712869337845,False,./profiling/aes_inputs_100content/run84.json
AS-f74a6924-a303-40bd-a9b4-2a4e9943ed21,100,10300,Stats,10300,24,,128,1,13.25056,0.004396825396825397,0.004396825396825397,1712869337887,1712869337911,False,./profiling/aes_inputs_100content/run84.json
AS-e205c6ca-aef4-4ba8-a665-2d29bec5798d,100,3500,wait1,3500,1009,,128,1,9.703424,0.019365079365079366,0.007051340942221041,1712869338474,1712869339483,False,./profiling/aes_inputs_100content/run16.json
AS-e205c6ca-aef4-4ba8-a665-2d29bec5798d,100,3500,AES1,3500,2090,6245,256,8,22.659072,0.6581572327044025,0.6202279088521109,1712869339524,1712869341614,False,./profiling/aes_inputs_100content/run16.json
AS-e205c6ca-aef4-4ba8-a665-2d29bec5798d,100,3500,AES2,14000,4160,6245,256,8,28.729344,1.3283694267515924,1.2475258910309523,1712869339529,1712869343689,False,./profiling/aes_inputs_100content/run16.json
AS-e205c6ca-aef4-4ba8-a665-2d29bec5798d,100,3500,AES3,31500,6245,6245,256,8,34.992128,1.9837898089171975,1.8716081833825975,1712869339524,1712869345769,False,./profiling/aes_inputs_100content/run16.json
AS-e205c6ca-aef4-4ba8-a665-2d29bec5798d,100,3500,Stats,3500,24,,128,1,13.123584,0.004703125,0.004703125,1712869345793,1712869345817,False,./profiling/aes_inputs_100content/run16.json
AS-f47aed1c-6152-4d93-90eb-fc5b475648ae,100,8700,wait1,8700,1006,,128,1,9.846784,0.0084375,0.0056916766415252935,1712869346377,1712869347383,False,./profiling/aes_inputs_100content/run68.json
AS-f47aed1c-6152-4d93-90eb-fc5b475648ae,100,8700,AES1,8700,5172,15536,256,8,22.802432,0.661367088607595,0.6247526656038871,1712869347435,1712869352607,False,./profiling/aes_inputs_100content/run68.json
AS-f47aed1c-6152-4d93-90eb-fc5b475648ae,100,8700,AES2,34800,10281,15536,256,8,28.852224,1.335897435897436,1.253354970546834,1712869347431,1712869357712,False,./profiling/aes_inputs_100content/run68.json
AS-f47aed1c-6152-4d93-90eb-fc5b475648ae,100,8700,AES3,78300,15536,15536,256,8,34.906112,1.9763734177215189,1.8650151528481655,1712869347432,1712869362968,False,./profiling/aes_inputs_100content/run68.json
AS-f47aed1c-6152-4d93-90eb-fc5b475648ae,100,8700,Stats,8700,24,,128,1,13.103104,0.0037692307692307695,0.0037692307692307695,1712869362999,1712869363023,False,./profiling/aes_inputs_100content/run68.json
AS-da13eb53-37be-446e-b3b2-1e34c64b0dfa,100,10900,wait1,10900,1004,,128,1,10.09664,0.00753125,0.005860724963948713,1712869363543,1712869364547,False,./profiling/aes_inputs_100content/run90.json
