num_of_processes,num_of_iterations,length_of_message,max_memory_usage,max_cpu_usage
5,75000,150,34.770944,1.6582101910828029
1,5000,350,19.058688,0.3369294871794871
4,40000,350,26.812416,1.3413161290322582
6,90000,350,37.31456,2.003108280254777
1,5000,50,19.243008,0.32784375
6,60000,50,32.39936,1.94745625
5,75000,50,34.709504,1.6786516129032258
3,15000,250,24.510464,0.9960828025477708
3,30000,250,24.875008,1.0247354838709677
7,105000,250,40.706048,2.365120253164557
3,15000,250,24.395776,1.0105705128205127
5,50000,250,29.814784,1.6693333333333331
4,60000,250,32.44032,1.3331582278481011
4,20000,150,26.5216,1.311012578616352
5,50000,150,30.203904,1.6806
4,60000,150,31.977472,1.3749299363057323
4,20000,350,27.267072,1.3456645161290324
3,30000,350,25.427968,1.0036666666666667
5,75000,350,35.504128,1.69075974025974
1,5000,250,19.23072,0.3846932515337423
2,20000,250,21.512192,0.6763270440251572
5,75000,250,34.848768,1.6760967741935484
4,20000,350,27.144192,1.354487012987013
6,60000,350,32.681984,2.0193290322580646
5,75000,350,34.779136,1.7004709677419356
4,20000,50,27.201536,1.307320512820513
5,50000,50,29.94176,1.69087012987013
7,105000,50,40.316928,2.3263461538461536
1,5000,250,19.116032,0.3351464968152866
3,30000,250,24.588288,0.9960509554140128
4,60000,250,31.862784,1.3361089743589742
4,20000,50,27.426816,1.2928757763975154
6,60000,50,32.493568,1.96425786163522
6,90000,50,37.666816,1.9877006369426755
3,15000,150,24.444928,1.002
3,30000,150,24.711168,1.0097354838709678
5,75000,150,35.115008,1.6800064516129032
1,5000,450,19.152896,0.3361538461538461
3,30000,450,24.346624,0.990246835443038
5,75000,450,35.20512,1.690246753246753
3,15000,150,24.662016,1.0030064102564102
2,20000,150,22.192128,0.6592173913043478
8,120000,150,43.044864,2.633291139240506
2,10000,50,21.397504,0.6534187499999999
6,60000,50,32.899072,1.99056050955414
5,75000,50,34.603008,1.6696923076923076
3,15000,250,24.563712,1.0087161290322582
5,50000,250,29.822976,1.6689871794871791
6,90000,250,38.019072,2.011793548387097
3,15000,150,24.113152,0.9853522012578616
6,60000,150,33.112064,2.006967741935484
6,90000,150,37.64224,1.9913248407643311
3,15000,150,24.629248,0.996579617834395
6,60000,150,32.39936,1.9944451612903225
4,60000,150,31.940608,1.3276624203821654
4,20000,350,27.062272,1.3450193548387095
5,50000,350,30.420992,1.6829032258064516
7,105000,350,40.689664,2.335724358974359
3,15000,450,24.313856,1.0080064516129033
5,50000,450,30.138368,1.689248366013072
6,90000,450,38.326272,2.015529032258065
2,10000,150,21.757952,0.65273125
5,50000,150,29.863936,1.677316129032258
6,90000,150,37.982208,2.015496774193549
4,20000,350,27.049984,1.3508571428571428
4,40000,350,27.725824,1.336365384615385
5,75000,350,35.176448,1.6864285714285714
4,20000,350,27.664384,1.3537012987012986
4,40000,350,27.373568,1.336269230769231
8,120000,350,42.868736,2.679326923076923
4,20000,250,27.111424,1.2988260869565218
6,60000,250,32.038912,2.0442077922077924
8,120000,250,43.339776,2.702993506493506
2,10000,50,21.99552,0.6742967741935484
4,40000,50,27.295744,1.3365
6,90000,50,37.53984,1.9867579617834397
1,5000,50,19.226624,0.3349108280254776
2,20000,50,21.856256,0.6655159235668789
7,105000,50,40.435712,2.3501612903225806
3,15000,450,24.395776,1.0160584415584415
6,60000,450,33.079296,2.0287467532467534
7,105000,450,40.947712,2.3514967741935484
1,5000,150,19.39456,0.3722576687116564
5,50000,150,29.425664,1.66975
6,90000,150,37.871616,2.0153290322580646
2,10000,250,21.83168,0.6653312101910829
4,40000,250,26.9312,1.3265095541401273
6,90000,250,37.9904,2.0161616766467065
3,15000,450,24.424448,1.002801282051282
2,20000,450,21.991424,0.6648980891719746
5,75000,450,35.18464,1.6746858974358974
3,15000,150,24.649728,0.9816477987421384
4,40000,150,27.283456,1.3441741935483869
8,120000,150,43.388928,2.669557692307692
1,5000,50,19.038208,0.3284844720496894
6,60000,50,32.362496,1.9647735849056605
6,90000,50,38.096896,2.016419354838709
1,5000,450,19.120128,0.3439281045751634
5,50000,450,30.117888,1.6801870967741936
7,105000,450,41.521152,2.3194012738853504
2,10000,350,21.72928,0.6725687499999999
5,50000,350,29.888512,1.6918774193548387
5,75000,350,35.176448,1.679483870967742
4,20000,250,27.123712,1.345846153846154
4,40000,250,27.193344,1.3487307692307693
4,60000,250,32.518144,1.336711538461539
1,5000,250,19.279872,0.3364102564102564
3,30000,250,24.35072,1.0042628205128206
5,75000,250,35.344384,1.6682115384615384
2,10000,350,21.876736,0.6769870967741936
3,30000,350,24.715264,1.0086645161290322
7,105000,350,40.2432,2.3517225806451614
2,10000,50,21.741568,0.6653184713375797
4,40000,50,27.336704,1.3265159235668789
4,60000,50,31.797248,1.3968707482993197
1,5000,250,19.12832,0.339775641025641
4,40000,250,27.324416,1.3151139240506329
8,120000,250,43.126784,2.759986928104575
1,5000,450,19.3536,0.3348917197452229
2,20000,450,22.130688,0.671759493670886
7,105000,450,41.148416,2.336134615384616
4,20000,450,27.312128,1.3519683544303798
3,30000,450,24.469504,1.010897435897436
4,60000,450,32.366592,1.3577784810126583
4,20000,450,26.902528,1.3372064516129032
6,60000,450,32.661504,2.014367741935484
4,60000,450,32.82944,1.339088050314465
4,20000,150,27.234304,1.32804375
5,50000,150,30.089216,1.646127388535032
6,90000,150,37.392384,1.9889554140127388
3,15000,350,24.465408,0.9860931677018634
2,20000,350,21.778432,0.6740580645161289
6,90000,350,37.388288,2.003070512820513
4,20000,350,27.099136,1.319451612903226
2,20000,350,21.803008,0.6695128205128205
8,120000,350,43.675648,2.6867419354838717
1,5000,350,19.243008,0.337602564102564
2,20000,350,21.93408,0.6758258064516129
5,75000,350,35.270656,1.6694807692307692
3,15000,350,24.190976,1.0094645161290323
3,30000,350,24.18688,1.0075696202531643
5,75000,350,35.078144,1.6599299363057325
3,15000,250,24.485888,1.010025806451613
6,60000,250,33.058816,2.066066225165563
8,120000,250,44.167168,2.7396315789473684
4,20000,450,27.631616,1.3445290322580643
6,60000,450,32.403456,2.016690322580645
7,105000,450,40.894464,2.360193548387097
3,15000,150,24.576,1.0087483870967742
4,40000,150,27.041792,1.3257452229299362
7,105000,150,40.947712,2.364090322580645
1,5000,250,18.939904,0.3368782051282051
5,50000,250,30.240768,1.6808141025641028
4,60000,250,32.346112,1.3458076923076925
1,5000,50,19.288064,0.3378757763975155
4,40000,50,27.078656,1.324522292993631
5,75000,50,35.24608,1.6609423076923078
2,10000,150,21.815296,0.6630506329113923
5,50000,150,29.81888,1.6703397435897436
8,120000,150,43.4176,2.6757018633540373
2,10000,250,21.426176,0.67
2,20000,250,22.15936,0.6637232704402516
5,75000,250,35.49184,1.7026535947712418
3,15000,250,24.846336,0.9973821656050956
2,20000,250,22.171648,0.6641538461538461
4,60000,250,32.493568,1.38117880794702
1,5000,50,19.116032,0.3358076923076923
4,40000,50,27.086848,1.3111698113207548
6,90000,50,37.654528,1.988076433121019
2,10000,450,21.712896,0.6740322580645162
4,40000,450,27.389952,1.3445290322580643
4,60000,450,32.62464,1.339141935483871
4,20000,450,27.283456,1.3529935064935064
5,50000,450,30.318592,1.6864967741935484
5,75000,450,35.487744,1.6803354838709676
1,5000,150,19.349504,0.3748509316770186
2,20000,150,21.89312,0.6690961538461538
6,90000,150,38.367232,1.985471337579618
3,15000,50,24.461312,0.9875095541401274
3,30000,50,24.416256,0.997936305732484
4,60000,50,32.382976,1.3370127388535034
4,20000,50,27.21792,1.303
2,20000,50,21.999616,0.6607468354430379
4,60000,50,32.21504,1.3432662337662338
2,10000,250,21.66784,0.6596540880503144
5,50000,250,29.904896,1.675458064516129
8,120000,250,43.687936,2.686258064516129
2,10000,250,21.905408,0.6615822784810127
3,30000,250,24.39168,1.0093935483870968
7,105000,250,41.5744,2.351174193548387
2,10000,450,21.54496,0.6689294871794872
3,30000,450,24.30976,1.0030320512820514
8,120000,450,44.306432,2.7035064935064934
2,10000,50,21.733376,0.6525375
5,50000,50,29.581312,1.6383270440251572
4,60000,50,32.591872,1.319481012658228
3,15000,150,24.457216,1.0162402597402598
2,20000,150,22.142976,0.6653694267515924
4,60000,150,32.5632,1.3497419354838711
4,20000,350,27.25888,1.3452530864197532
4,40000,350,27.222016,1.3362051282051282
6,90000,350,38.162432,2.0088580645161294
3,15000,150,24.375296,1.0097806451612903
