Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-cb2f0b3a-6d57-4515-8ac5-066c0e15b266,0.012815037593984965,wait1,,1240,,128,1,9.773056,0.007784615384615385,1711649966462,1711649967702,False,./profileRun/aes_run150.json
AS-cb2f0b3a-6d57-4515-8ac5-066c0e15b266,0.012815037593984965,AES1,0.0024390977443609022,8325,24034,256,8,21.798912,0.6787207792207792,1711649969379,1711649977704,False,./profileRun/aes_run150.json
AS-cb2f0b3a-6d57-4515-8ac5-066c0e15b266,0.012815037593984965,AES2,0.01341654135338346,16453,24034,256,8,32.329728,2.0038910256410256,1711649968460,1711649984913,False,./profileRun/aes_run150.json
AS-cb2f0b3a-6d57-4515-8ac5-066c0e15b266,0.012815037593984965,AES3,0.022589473684210527,24034,24034,256,8,42.47552,2.8715448717948715,1711649968715,1711649992749,False,./profileRun/aes_run150.json
AS-cb2f0b3a-6d57-4515-8ac5-066c0e15b266,0.012815037593984965,Stats,,278,,128,1,10.264576,0.0064444444444444445,1711649993255,1711649993533,False,./profileRun/aes_run150.json
AS-a9c48c47-ef8f-4902-843a-1c7e04894f5d,0.006530827067669174,wait1,,1244,,128,1,9.5232,0.0110625,1711649994576,1711649995820,False,./profileRun/aes_run427.json
AS-a9c48c47-ef8f-4902-843a-1c7e04894f5d,0.006530827067669174,AES1,0.0024706766917293233,21307,63076,256,8,21.819392,0.6743607594936708,1711649996677,1711650017984,False,./profileRun/aes_run427.json
AS-a9c48c47-ef8f-4902-843a-1c7e04894f5d,0.006530827067669174,AES2,0.0035233082706766913,43068,63076,256,8,21.827584,0.6683333333333332,1711649997684,1711650040752,False,./profileRun/aes_run427.json
AS-a9c48c47-ef8f-4902-843a-1c7e04894f5d,0.006530827067669174,AES3,0.013598496240601506,63076,63076,256,8,34.136064,1.6942,1711649996815,1711650059891,False,./profileRun/aes_run427.json
AS-a9c48c47-ef8f-4902-843a-1c7e04894f5d,0.006530827067669174,Stats,,252,,128,1,11.374592,0.005107692307692308,1711650061037,1711650061289,False,./profileRun/aes_run427.json
AS-3cd77847-9ca0-4e09-9aa2-cf9c35275e6e,0.007357894736842105,wait1,,1245,,128,1,9.572352,0.014015384615384614,1711650062459,1711650063704,False,./profileRun/aes_run432.json
AS-3cd77847-9ca0-4e09-9aa2-cf9c35275e6e,0.007357894736842105,AES1,0.0024706766917293233,21388,62953,256,8,21.79072,0.6657707006369428,1711650064398,1711650085786,False,./profileRun/aes_run432.json
AS-3cd77847-9ca0-4e09-9aa2-cf9c35275e6e,0.007357894736842105,AES2,0.006004511278195488,42789,62953,256,8,24.45312,0.9988525641025641,1711650064490,1711650107279,False,./profileRun/aes_run432.json
AS-3cd77847-9ca0-4e09-9aa2-cf9c35275e6e,0.007357894736842105,AES3,0.013598496240601506,62953,62953,256,8,34.353152,1.6684437499999998,1711650064596,1711650127549,False,./profileRun/aes_run432.json
AS-3cd77847-9ca0-4e09-9aa2-cf9c35275e6e,0.007357894736842105,Stats,,254,,128,1,11.628544,0.006676923076923077,1711650128895,1711650129149,False,./profileRun/aes_run432.json
AS-7dc8e43d-6c00-4b7f-b28f-891b7e0d7b14,0.013115789473684211,wait1,,1241,,128,1,9.777152,0.010843750000000001,1711650130398,1711650131639,False,./profileRun/aes_run199.json
AS-7dc8e43d-6c00-4b7f-b28f-891b7e0d7b14,0.013115789473684211,AES1,0.006348872180451128,8310,24016,256,8,27.373568,1.3272115384615386,1711650132368,1711650140678,False,./profileRun/aes_run199.json
AS-7dc8e43d-6c00-4b7f-b28f-891b7e0d7b14,0.013115789473684211,AES2,0.01341654135338346,16547,24016,256,8,31.870976,2.021561290322581,1711650133303,1711650149850,False,./profileRun/aes_run199.json
AS-7dc8e43d-6c00-4b7f-b28f-891b7e0d7b14,0.013115789473684211,AES3,0.019581954887218044,24016,24016,256,8,39.350272,2.3350320512820515,1711650131742,1711650155758,False,./profileRun/aes_run199.json
AS-7dc8e43d-6c00-4b7f-b28f-891b7e0d7b14,0.013115789473684211,Stats,,262,,128,1,10.088448,0.00628125,1711650156230,1711650156492,False,./profileRun/aes_run199.json
AS-3e5b6ec8-357e-4006-8b26-6c8221b719f5,0.008815538847117796,wait1,,1245,,128,1,9.900032,0.010646153846153845,1711650157557,1711650158802,False,./profileRun/aes_run246.json
AS-3e5b6ec8-357e-4006-8b26-6c8221b719f5,0.008815538847117796,AES1,0.002449624060150376,12467,36173,256,8,21.925888,0.6802929936305733,1711650160613,1711650173080,False,./profileRun/aes_run246.json
AS-3e5b6ec8-357e-4006-8b26-6c8221b719f5,0.008815538847117796,AES2,0.013427067669172933,24509,36173,256,8,32.374784,1.9908089171974521,1711650160516,1711650185025,False,./profileRun/aes_run246.json
AS-3e5b6ec8-357e-4006-8b26-6c8221b719f5,0.008815538847117796,AES3,0.010569924812030076,36173,36173,256,8,31.084544,1.345316129032258,1711650158898,1711650195071,False,./profileRun/aes_run246.json
AS-3e5b6ec8-357e-4006-8b26-6c8221b719f5,0.008815538847117796,Stats,,261,,128,1,10.5472,0.004907692307692308,1711650195694,1711650195955,False,./profileRun/aes_run246.json
AS-e6bbf62f-8188-4502-8e1b-cee29c36963e,0.006860651629072681,wait1,,1238,,128,1,9.650176,0.012953125,1711650196989,1711650198227,False,./profileRun/aes_run203.json
AS-e6bbf62f-8188-4502-8e1b-cee29c36963e,0.006860651629072681,AES1,0.0004947368421052631,12463,36341,256,8,19.324928,0.38586144578313253,1711650199847,1711650212310,False,./profileRun/aes_run203.json
AS-e6bbf62f-8188-4502-8e1b-cee29c36963e,0.006860651629072681,AES2,0.0035022556390977445,24673,36341,256,8,21.655552,0.6663566878980892,1711650199730,1711650224403,False,./profileRun/aes_run203.json
AS-e6bbf62f-8188-4502-8e1b-cee29c36963e,0.006860651629072681,AES3,0.016584962406015036,36341,36341,256,8,36.450304,2.0382894736842108,1711650198338,1711650234679,False,./profileRun/aes_run203.json
AS-e6bbf62f-8188-4502-8e1b-cee29c36963e,0.006860651629072681,Stats,,261,,128,1,10.395648,0.004757575757575757,1711650235184,1711650235445,False,./profileRun/aes_run203.json
AS-c2f3dcb9-0939-49dc-b9a3-d5b9d6a50674,0.009839097744360903,wait1,,1239,,128,1,9.5232,0.009265625,1711650236519,1711650237758,False,./profileRun/aes_run463.json
